,user_id,follow_user_id,strength,Unnamed: 0_actual,id_actual,name_actual,screen_name_actual,statuses_count_actual,followers_count_actual,friends_count_actual,favourites_count_actual,Account Type_actual,Group Type_actual,Unnamed: 0_follows,id_follows,name_follows,screen_name_follows,statuses_count_follows,followers_count_follows,friends_count_follows,favourites_count_follows,Account Type_follows,Group Type_follows
0,24858289.0,24858289.0,49,0.0,24858289.0,Davide Bertoli,davideb66,1299.0,22.0,40.0,1.0,spam,social,0.0,24858289.0,Davide Bertoli,davideb66,1299.0,22.0,40.0,1.0,spam,social
279,39773427.0,39773427.0,29,2.0,39773427.0,Donato Vincenzo,Vladimir65,22987.0,600.0,755.0,14.0,spam,social,2.0,39773427.0,Donato Vincenzo,Vladimir65,22987.0,600.0,755.0,14.0,spam,social
392,57007623.0,57007623.0,12,3.0,57007623.0,Rafiela Morales L.,RafielaMorales,7975.0,398.0,350.0,11.0,spam,social,3.0,57007623.0,Rafiela Morales L.,RafielaMorales,7975.0,398.0,350.0,11.0,spam,social
407,63258466.0,63258466.0,43,4.0,63258466.0,§ h a † u r♄,FabrizioC_c,20218.0,413.0,405.0,162.0,spam,social,4.0,63258466.0,§ h a † u r♄,FabrizioC_c,20218.0,413.0,405.0,162.0,spam,social
482,63258466.0,538922623.0,3,4.0,63258466.0,§ h a † u r♄,FabrizioC_c,20218.0,413.0,405.0,162.0,spam,social,682.0,538922623.0,Fatima,FatimaGola,210.0,4061.0,4434.0,0.0,spam,social
490,63258466.0,2274833028.0,14,4.0,63258466.0,§ h a † u r♄,FabrizioC_c,20218.0,413.0,405.0,162.0,spam,social,958.0,2274833028.0,morena bisceglie,morenabisceglie,563.0,9361.0,9921.0,0.0,spam,social
498,63258466.0,1070386470.0,3,4.0,63258466.0,§ h a † u r♄,FabrizioC_c,20218.0,413.0,405.0,162.0,spam,social,870.0,1070386470.0,Uomo d'altri Tempi,UomoDaltriTempi,5876.0,6325.0,2.0,1630.0,spam,social
503,96435556.0,96435556.0,32,5.0,96435556.0,Mariano,Marianocrt,15259.0,134.0,401.0,55.0,spam,social,5.0,96435556.0,Mariano,Marianocrt,15259.0,134.0,401.0,55.0,spam,social
542,108992875.0,108992875.0,40,6.0,108992875.0,marzia menonna,marzia_hayley,9551.0,337.0,630.0,655.0,spam,social,6.0,108992875.0,marzia menonna,marzia_hayley,9551.0,337.0,630.0,655.0,spam,social
636,237192993.0,1273211443.0,26,12.0,237192993.0,Monica Carta,Moniqueeo84,513.0,5772.0,6022.0,0.0,spam,social,916.0,1273211443.0,Abbracciati&Baciati,Abbaciati,1241.0,1867.0,1643.0,1.0,spam,social
